"","player","time","time_ms","advancement","ranked_event","n_advancements"
"60","ANTOlNE",00:04:44.070,284070,"Who is Cutting Onions?",NA,11
"61","iinterp",00:04:55.837,295837,"Fishy Business",NA,9
"62","infume",00:04:56.086,296086,"Those Were the Days",NA,12
"63","infume",00:05:04.899,304899,"War Pigs",NA,13
"64","infume",00:05:06.433,306433,"Oh Shiny",NA,14
"65","iinterp",00:05:06.829,306829,"Hot Stuff",NA,10
"66","infume",00:05:06.938,306938,"Who is Cutting Onions?",NA,15
"67","jakkeboy3651",00:05:15.871,315871,"Those Were the Days",NA,11
"68","iinterp",00:05:19.584,319584,"We Need to Go Deeper",NA,11
"69","maskers_",00:05:21.556,321556,"Those Were the Days",NA,10
"70","jakkeboy3651",00:05:22.534,322534,"War Pigs",NA,12
"71","ANTOlNE",00:05:25.318,325318,"Oh Shiny",NA,12
"72","jakkeboy3651",00:05:26.490,326490,"Ice Bucket Challenge",NA,13
"73","maskers_",00:05:31.149,331149,"War Pigs",NA,11
"74","maskers_",00:05:38.946,338946,"Who is Cutting Onions?",NA,12
"75","7rowl",00:05:40.224,340224,"Ice Bucket Challenge",NA,12
"76","jakkeboy3651",00:05:40.744,340744,"Who is Cutting Onions?",NA,14
"77","ANTOlNE",00:05:49.672,349672,"Ice Bucket Challenge",NA,13
"78","iinterp",00:05:56.480,356480,"Those Were the Days",NA,12
"79","7rowl",00:05:57.064,357064,"Local Brewery",NA,13
"80","iinterp",00:06:09.718,369718,"War Pigs",NA,13
"81","iinterp",00:06:12.777,372777,"Who is Cutting Onions?",NA,14
"82","infume",00:06:23.811,383811,"Fishy Business",NA,16
"83","jakkeboy3651",00:06:34.136,394136,"Oh Shiny",NA,15
"84","maskers_",00:06:35.499,395499,"Ice Bucket Challenge",NA,13
"85","infume",00:06:53.544,413544,"Ice Bucket Challenge",NA,17
"86","7rowl",00:06:59.474,419474,"A Terrible Fortress",NA,14
"87","maskers_",00:07:05.042,425042,"Local Brewery",NA,14
"88","ANTOlNE",00:07:11.984,431984,"Local Brewery",NA,14
"89","ANTOlNE",00:07:14.372,434372,"Suit Up",NA,15
"90","iinterp",00:07:17.129,437129,"Ice Bucket Challenge",NA,15
"91","iinterp",00:07:34.776,454776,"Oh Shiny",NA,16
"92","7rowl",00:07:38.232,458232,"Monster Hunter",NA,15
"93","infume",00:07:43.953,463953,"A Terrible Fortress",NA,18
"94","jakkeboy3651",00:07:53.340,473340,"Suit Up",NA,16
"95","infume",00:07:53.597,473597,"Monster Hunter",NA,19
"96","infume",00:07:53.597,473597,"Ol' Betsy",NA,20
"97","infume",00:07:53.598,473598,"Take Aim",NA,21
"98","ANTOlNE",00:07:57.369,477369,"A Terrible Fortress",NA,16
"99","infume",00:08:06.634,486634,"Into Fire",NA,22
"100","7rowl",00:08:07.777,487777,"Into Fire",NA,16
"101","ANTOlNE",00:08:13.269,493269,"Take Aim",NA,17
"102","ANTOlNE",00:08:16.219,496219,"Not Today, Thank You",NA,18
"103","ANTOlNE",00:08:24.212,504212,"Monster Hunter",NA,19
"104","ANTOlNE",00:08:34.369,514369,"Into Fire",NA,20
"105","iinterp",00:08:50.128,530128,"Monster Hunter",NA,17
"106","iinterp",00:08:50.138,530138,"Return to Sender",NA,18
"107","infume",00:08:55.981,535981,"Not Today, Thank You",NA,23
"108","maskers_",00:09:19.553,559553,"A Terrible Fortress",NA,15
"109","jakkeboy3651",00:09:20.644,560644,"A Terrible Fortress",NA,17
"110","iinterp",00:09:22.429,562429,"A Terrible Fortress",NA,19
"111","infume",00:09:28.532,568532,"Suit Up",NA,24
