"","player","time","time_ms","advancement","ranked_event","n_advancements"
"43","Oxidiot",00:02:36.478,156478,"A Seedy Place",NA,8
"44","4antoo",00:02:38.664,158664,"Suit Up",NA,7
"45","hackingnoises",00:02:45.061,165061,"Hot Stuff",NA,10
"46","NOHACKSJUSTTIGER",00:02:50.567,170567,"What a Deal!",NA,9
"47","hackingnoises",00:02:55.510,175510,"We Need to Go Deeper",NA,11
"48","drx6",00:02:56.523,176523,"What a Deal!",NA,8
"49","Oxidiot",00:02:58.190,178190,"What a Deal!",NA,9
"50","4antoo",00:03:11.888,191888,"What a Deal!",NA,8
"51","NOHACKSJUSTTIGER",00:03:14.732,194732,"Hot Stuff",NA,10
"52","NOHACKSJUSTTIGER",00:03:26.564,206564,"We Need to Go Deeper",NA,11
"53","dbowzer",00:03:37.398,217398,"The Parrots and the Bats",NA,6
"54","dbowzer",00:03:37.784,217784,"Tactical Fishing",NA,7
"55","4antoo",00:03:42.835,222835,"Tactical Fishing",NA,9
"56","Oxidiot",00:03:49.175,229175,"Fishy Business",NA,10
"57","Oxidiot",00:03:55.951,235951,"Hot Stuff",NA,11
"58","hackingnoises",00:03:56.068,236068,"Those Were the Days",NA,12
"59","hackingnoises",00:03:57.215,237215,"The Parrots and the Bats",NA,13
"60","dbowzer",00:03:58.284,238284,"Getting an Upgrade",NA,8
"61","dbowzer",00:04:00.838,240838,"Fishy Business",NA,9
"62","drx6",00:04:01.623,241623,"Tactical Fishing",NA,9
"63","Oxidiot",00:04:06.143,246143,"We Need to Go Deeper",NA,12
"64","dbowzer",00:04:08.627,248627,"Hot Stuff",NA,10
"65","drx6",00:04:13.613,253613,"Fishy Business",NA,10
"66","hackingnoises",00:04:18.515,258515,"Oh Shiny",NA,14
"67","dbowzer",00:04:21.508,261507,"We Need to Go Deeper",NA,11
"68","4antoo",00:04:26.419,266419,"Hot Stuff",NA,10
"69","4antoo",00:04:42.149,282149,"We Need to Go Deeper",NA,11
"70","Oxidiot",00:04:54.955,294955,"Those Were the Days",NA,13
"71","drx6",00:04:59.964,299964,"The Parrots and the Bats",NA,11
"72","hackingnoises",00:05:00.722,300722,"Who is Cutting Onions?",NA,15
"73","hackingnoises",00:05:00.726,300726,"Ice Bucket Challenge",NA,16
"74","Oxidiot",00:05:03.154,303154,"Oh Shiny",NA,14
"75","hackingnoises",00:05:06.770,306770,"Monster Hunter",NA,17
"76","hackingnoises",00:05:07.872,307872,"War Pigs",NA,18
"77","dbowzer",00:05:14.383,314383,"Those Were the Days",NA,12
"78","NOHACKSJUSTTIGER",00:05:25.736,325736,"Those Were the Days",NA,12
"79","drx6",00:05:26.092,326092,"Hot Stuff",NA,12
"80","hackingnoises",00:05:36.072,336072,"Fishy Business",NA,19
"81","drx6",00:05:38.683,338683,"We Need to Go Deeper",NA,13
"82","NOHACKSJUSTTIGER",00:06:08.637,368637,"Oh Shiny",NA,13
"83","4antoo",00:06:15.273,375273,"Those Were the Days",NA,12
"84","4antoo",00:06:20.613,380613,"War Pigs",NA,13
"85","dbowzer",00:06:21.733,381733,"Who is Cutting Onions?",NA,13
"86","hackingnoises",00:06:27.516,387516,"Hidden in the Depths",NA,20
"87","Oxidiot",00:06:28.306,388306,"War Pigs",NA,15
"88","4antoo",00:06:28.440,388440,"Ice Bucket Challenge",NA,14
"89","hackingnoises",00:06:28.663,388663,"Cover Me With Diamonds",NA,21
"90","Oxidiot",00:06:30.503,390503,"Who is Cutting Onions?",NA,16
"91","Oxidiot",00:06:36.904,396904,"Ice Bucket Challenge",NA,17
"92","4antoo",00:06:39.514,399514,"Oh Shiny",NA,15
"93","dbowzer",00:06:46.029,406029,"Ice Bucket Challenge",NA,14
"94","NOHACKSJUSTTIGER",00:06:50.543,410543,"Who is Cutting Onions?",NA,14
"95","NOHACKSJUSTTIGER",00:06:50.576,410576,"Ice Bucket Challenge",NA,15
"96","dbowzer",00:06:50.926,410926,"Oh Shiny",NA,15
"97","NOHACKSJUSTTIGER",00:06:53.281,413281,"Monster Hunter",NA,16
"98","drx6",00:06:55.120,415120,"Those Were the Days",NA,14
"99","NOHACKSJUSTTIGER",00:07:00.180,420180,"War Pigs",NA,17
"100","drx6",00:07:01.030,421030,"War Pigs",NA,15
"101","drx6",00:07:03.293,423293,"Ice Bucket Challenge",NA,16
"102","drx6",00:07:04.129,424129,"Oh Shiny",NA,17
"103","Oxidiot",00:07:04.653,424653,"Hidden in the Depths",NA,18
"104","dbowzer",00:07:17.816,437816,"War Pigs",NA,16
"105","NOHACKSJUSTTIGER",00:07:19.480,439480,"Fishy Business",NA,18
"106","dbowzer",00:07:19.581,439581,"Hidden in the Depths",NA,17
"107","NOHACKSJUSTTIGER",00:07:25.789,445789,"Take Aim",NA,19
"108","NOHACKSJUSTTIGER",00:07:30.237,450237,"Not Today, Thank You",NA,20
"109","dbowzer",00:07:35.036,455036,"Monster Hunter",NA,18
"110","dbowzer",00:07:37.777,457777,"Cover Me With Diamonds",NA,19
"111","Oxidiot",00:07:38.291,458291,"Ol' Betsy",NA,19
"112","4antoo",00:07:39.328,459328,"Who is Cutting Onions?",NA,16
"113","Oxidiot",00:07:39.859,459859,"Not Today, Thank You",NA,20
"114","Oxidiot",00:07:39.943,459943,"Take Aim",NA,21
