"","player","time","time_ms","advancement","ranked_event","n_advancements"
"75","waluyoshi",00:04:18.296,258296,"War Pigs",NA,13
"76","SuperC__",00:04:19.038,259038,"Oh Shiny",NA,16
"77","waluyoshi",00:04:19.564,259564,"Who is Cutting Onions?",NA,14
"78","silverrruns",00:04:20.227,260226,"War Pigs",NA,15
"79","silverrruns",00:04:21.541,261541,"Who is Cutting Onions?",NA,16
"80","chrisXD",00:04:23.491,263491,"Ice Bucket Challenge",NA,15
"81","retropog",00:04:26.819,266819,"We Need to Go Deeper",NA,13
"82","hasbi123412",00:04:28.891,268891,"We Need to Go Deeper",NA,8
"83","retropog",00:04:33.748,273748,"Those Were the Days",NA,14
"84","hasbi123412",00:04:35.908,275908,"Those Were the Days",NA,9
"85","retropog",00:04:37.117,277117,"War Pigs",NA,15
"86","waluyoshi",00:04:37.912,277912,"Oh Shiny",NA,15
"87","retropog",00:04:38.425,278425,"Who is Cutting Onions?",NA,16
"88","silverrruns",00:04:40.977,280977,"Oh Shiny",NA,17
"89","retropog",00:04:56.835,296835,"Oh Shiny",NA,17
"90","chrisXD",00:05:04.073,304073,"Not Quite ""Nine"" Lives",NA,16
"91","hasbi123412",00:05:11.099,311099,"Oh Shiny",NA,10
"92","SuperC__",00:05:31.345,331345,"Ice Bucket Challenge",NA,17
"93","SuperC__",00:05:31.651,331651,"Suit Up",NA,18
"94","chrisXD",00:05:37.687,337687,"Cover Me With Diamonds",NA,17
"95","silverrruns",00:05:45.892,345892,"Ice Bucket Challenge",NA,18
"96","retropog",00:05:48.148,348148,"Monster Hunter",NA,18
"97","waluyoshi",00:05:49.464,349464,"Ice Bucket Challenge",NA,16
"98","hasbi123412",00:06:11.701,371701,"Getting an Upgrade",NA,11
"99","retropog",00:06:12.337,372337,"Return to Sender",NA,19
"100","hasbi123412",00:06:13.397,373397,"Ice Bucket Challenge",NA,12
"101","hasbi123412",00:06:13.402,373402,"Who is Cutting Onions?",NA,13
"102","chrisXD",00:06:14.823,374823,"Monster Hunter",NA,18
"103","silverrruns",00:06:16.930,376930,"Not Quite ""Nine"" Lives",NA,19
"104","hasbi123412",00:06:17.509,377509,"War Pigs",NA,14
"105","silverrruns",00:06:31.742,391742,"Getting an Upgrade",NA,20
"106","chrisXD",00:06:32.241,392241,"A Terrible Fortress",NA,19
"107","waluyoshi",00:06:43.533,403533,"A Terrible Fortress",NA,17
"108","waluyoshi",00:06:56.231,416231,"Monster Hunter",NA,18
"109","silverrruns",00:07:05.590,425590,"Cover Me With Diamonds",NA,21
"110","waluyoshi",00:07:06.111,426111,"Getting an Upgrade",NA,19
"111","retropog",00:07:08.913,428913,"Ice Bucket Challenge",NA,20
"112","SuperC__",00:07:10.433,430433,"Cover Me With Diamonds",NA,19
"113","hasbi123412",00:07:18.171,438171,"Return to Sender",NA,15
"114","hasbi123412",00:07:18.300,438300,"Monster Hunter",NA,16
"115","waluyoshi",00:07:18.461,438461,"Suit Up",NA,20
"116","waluyoshi",00:07:22.130,442130,"Not Quite ""Nine"" Lives",NA,21
"117","chrisXD",00:07:22.620,442620,"Fishy Business",NA,20
"118","chrisXD",00:07:31.135,451135,"Into Fire",NA,21
"119","SuperC__",00:07:35.792,455792,"Return to Sender",NA,20
"120","SuperC__",00:07:36.064,456064,"Monster Hunter",NA,21
"121","waluyoshi",00:07:41.162,461162,"Into Fire",NA,22
"122","retropog",00:07:43.713,463713,"Not Quite ""Nine"" Lives",NA,21
"123","chrisXD",00:07:43.873,463873,"Suit Up",NA,22
"124","SuperC__",00:07:48.844,468844,"A Terrible Fortress",NA,22
"125","hasbi123412",00:07:50.458,470458,"What a Deal!",NA,17
"126","silverrruns",00:07:52.030,472030,"A Terrible Fortress",NA,22
"127","chrisXD",00:07:52.516,472516,"Ol' Betsy",NA,23
"128","retropog",00:07:56.916,476916,"Ol' Betsy",NA,22
"129","retropog",00:07:59.086,479086,"Take Aim",NA,23
"130","retropog",00:07:59.086,479086,"Not Today, Thank You",NA,24
"131","chrisXD",00:07:59.335,479335,"Not Today, Thank You",NA,24
"132","chrisXD",00:07:59.390,479390,"Take Aim",NA,25
"133","chrisXD",00:08:06.361,486361,"Local Brewery",NA,26
"134","hasbi123412",00:08:11.183,491183,"Tactical Fishing",NA,18
"135","waluyoshi",00:08:19.442,499442,"Local Brewery",NA,23
"136","silverrruns",00:08:21.493,501493,"Into Fire",NA,23
"137","SuperC__",00:08:25.093,505093,"Into Fire",NA,23
"138","chrisXD",00:08:47.964,527964,NA,"blind_travel",26
"139","retropog",00:08:51.066,531066,"Cover Me With Diamonds",NA,25
"140","silverrruns",00:08:52.837,532837,"Local Brewery",NA,24
"141","hasbi123412",00:08:53.001,533001,"Cover Me With Diamonds",NA,19
"142","silverrruns",00:09:04.972,544972,"Suit Up",NA,25
"143","waluyoshi",00:09:12.680,552680,"Ol' Betsy",NA,24
"144","waluyoshi",00:09:13.464,553464,"Take Aim",NA,25
"145","chrisXD",00:09:15.586,555586,"The Parrots and the Bats",NA,27
"146","silverrruns",00:09:22.322,562322,NA,"blind_travel",25
"147","SuperC__",00:09:26.526,566526,"Ol' Betsy",NA,24
"148","SuperC__",00:09:27.344,567344,"Not Today, Thank You",NA,25
"149","SuperC__",00:09:27.649,567649,"Take Aim",NA,26
"150","waluyoshi",00:09:35.924,575924,NA,"blind_travel",25
"151","hasbi123412",00:09:37.560,577560,"A Terrible Fortress",NA,20
"152","retropog",00:09:51.734,591734,"A Terrible Fortress",NA,26
"153","hasbi123412",00:10:08.060,608060,"Into Fire",NA,21
"154","SuperC__",00:10:08.833,608833,NA,"blind_travel",26
"155","waluyoshi",00:10:19.764,619764,"Not Today, Thank You",NA,26
"156","silverrruns",00:10:27.444,627444,"Ol' Betsy",NA,26
"157","chrisXD",00:10:29.085,629085,"Eye Spy",NA,28
"158","silverrruns",00:10:29.148,629148,"Not Today, Thank You",NA,27
"159","silverrruns",00:10:29.234,629234,"Take Aim",NA,28
