"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"181","retropog",3,00:17:30.144,1050144,"Bullseye",NA,31
"182","waluyoshi",5,00:17:42.319,1062319,"The Next Generation",NA,30
"183","silverrruns",2,00:18:12.420,1092420,"Free the End",NA,32
"184","silverrruns",2,00:18:12.567,1092567,NA,"dragon_death",32
"185","SuperC__",1,00:18:17.210,1097210,"Bullseye",NA,31
"186","SuperC__",1,00:18:27.129,1107129,"Free the End",NA,32
"187","SuperC__",1,00:18:27.433,1107433,NA,"dragon_death",32
"188","silverrruns",2,00:18:35.836,1115836,"Remote Getaway",NA,33
"189","retropog",3,00:18:39.743,1119743,"Free the End",NA,32
"190","retropog",3,00:18:39.744,1119744,NA,"dragon_death",32
"191","SuperC__",1,00:18:41.673,1121673,"The Next Generation",NA,33
