"match_id","player","standing","time","advancement","ranked_event","n_advancements","time_ms"
"1F2","Valdaren",4,00:29:20.753,"Postmortal",NA,45,1760753
"1F2","frankey32_",3,00:29:26.632,"Return to Sender",NA,45,1766632
"1F2","dandannyboy",1,00:29:46.217,"Enchanter",NA,48,1786217
"1F2","frankey32_",3,00:30:08.231,"Subspace Bubble",NA,46,1808231
"1F2","frankey32_",3,00:30:22.516,"Uneasy Alliance",NA,47,1822516
"1F2","frankey32_",3,00:31:05.482,"Diamonds!",NA,48,1865482
"1F2","Joomzzzz",2,00:31:28.702,"Hidden in the Depths",NA,51,1888702
"1F2","dandannyboy",1,00:31:36.917,"Hired Help",NA,49,1896917
"1F2","dandannyboy",1,00:31:47.100,"Bullseye",NA,50,1907100
"1F2","frankey32_",3,00:31:54.333,"Bullseye",NA,49,1914333
"1F2","Valdaren",4,00:32:17.140,"Enchanter",NA,46,1937140
"1F2","dandannyboy",1,00:32:21.199,"Sniper Duel",NA,51,1941199
"1F2","frankey32_",3,00:32:23.240,"Hired Help",NA,50,1943240
